artist,genres,followers,popularity
FT Kings,[],16823,66
Meghan Trainor,"['hip pop', 'pop']",15386185,80
The 1975,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']",7401662,78
Deadletter,[],14,0
Mark Ambor,['singer-songwriter pop'],505677,76
Polo G,"['chicago rap', 'rap']",11846932,81
Manuel Turizo,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",14052716,84
Morgan Wallen,['contemporary country'],10810229,91
Bresh,"['italian hip hop', 'italian pop', 'rap genovese']",268791,69
Prototype,['rap francais'],53504,59
Chimbala,"['dembow', 'rap dominicano']",639664,70
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",15646318,85
Don Toliver,['rap'],5037087,87
The Chainsmokers,['pop'],20518376,83
KADI,[],38777,48
Patti LaBelle,"['contemporary r&b', 'philly soul', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",1017857,53
Taylor Swift,['pop'],123220924,100
Amaarae,"['afro r&b', 'afrobeats', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",439863,69
Wiz Khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11250928,82
Julión Álvarez y su Norteño Banda,"['banda', 'musica mexicana', 'norteno', 'sad sierreno']",6572032,84
Manolo Garcia,"['cantautor', 'pop flamenco', 'spanish new wave', 'spanish pop']",642118,59
Key-Key,['raspe'],37480,66
Peso Pluma,"['corridos tumbados', 'sad sierreno']",16533607,93
Miley Cyrus,['pop'],24833068,84
David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26270443,90
Blessd,"['reggaeton', 'urbano latino']",5055818,82
Myles Smith,['singer-songwriter pop'],736021,79
Milo j,"['trap argentino', 'trap latino', 'urbano latino']",4807524,83
Paul McCartney,"['classic rock', 'mellow gold', 'rock', 'soft rock']",4903889,73
W Sound,[],93557,64
Kelly Clarkson,"['dance pop', 'pop', 'talent show']",10588683,74
Becky G,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']",15108650,79
Hamza,"['belgian hip hop', 'cloud rap francais', 'french hip hop', 'pop urbaine', 'rap belge']",1366589,74
LeToya Luckett,"['contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']",457484,30
UZI,"['turkish hip hop', 'turkish trap']",5153217,72
Camp Lo,"['bronx hip hop', 'east coast hip hop', 'jazz rap']",160518,44
Fontaines D.C.,"['crank wave', 'irish indie rock', 'irish post-punk']",637871,72
