artist,name,date,time,venue,location,price_range
Angelina Mango,Angelina Mango - European Club Tour,2024-11-13,21:00:00,Sala Changó,"Madrid, Spain",27.0-27.0 EUR
Angelina Mango,Angelina Mango - European Club Tour | Paquetes VIP,2024-11-11,20:30:00,Sala Razzmatazz 2,"Barcelona, Spain",85.0-85.0 EUR
Trippie Redd,Trippie Redd,2024-11-07,20:00:00,Vibrant Music Hall,"Waukee, United States Of America",30.0-59.5 USD
Trippie Redd,Trippie Redd,2024-11-16,20:00:00,The Criterion,"Oklahoma City, United States Of America",N/A
Trippie Redd,Trippie Redd,2024-11-16,20:00:00,Criterion Theater - Oklahoma City,"Oklahoma City, United States Of America",N/A
Trippie Redd,Rolling Loud,2024-12-13,N/A,Hard Rock Stadium,"Miami, United States Of America",N/A
41,Sum 41,2024-10-26,18:00:00,First Direct Arena,"Leeds, Great Britain",0.0-0.0 GBP
41,Sum 41,2024-10-27,18:30:00,OVO Hydro,"Glasgow, Great Britain",0.0-355.0 GBP
41,Sum 41,2024-10-28,18:30:00,Co-op Live,"Manchester, Great Britain",0.0-339.0 GBP
41,Sum 41,2024-10-30,18:00:00,Motorpoint Arena Nottingham,"Nottingham, Great Britain",48.75-354.2 GBP
41,Sum 41,2024-10-31,18:00:00,"OVO Arena, Wembley","London, Great Britain",53.4-359.75 GBP
41,Sum 41,2024-11-02,18:30:00,Utilita Arena Cardiff,"Cardiff, Great Britain",0.0-339.0 GBP
41,Sum 41,2024-10-23,18:30:00,ING ARENA,"Brussels, Belgium",45.0-135.0 EUR
41,SUM 41,2024-11-10,19:00:00,O2 Arena,"Praha 9, Czech Republic",1290.0-3350.0 CZK
41,Sum 41,2025-01-10,18:50:00,Save-On-Foods Memorial Centre,"Victoria, Canada",N/A
41,SUM 41,2025-01-11,18:50:00,ROGERS ARENA,"Vancouver, Can",N/A
41,Sum 41,2025-01-13,18:50:00,Prospera Place,"Kelowna, Canada",N/A
41,Sum 41,2025-01-16,19:00:00,Scotiabank Saddledome Suites,"N/A, N/A",N/A
41,Ticketmaster Event 41,2024-11-10,20:00:00,N/A,"N/A, N/A",N/A
41,Suites: Sum 41,2025-01-24,18:50:00,Canadian Tire Centre,"Ottawa, Can",N/A
41,Sum 41 - Surplus,2025-01-25,18:50:00,Place Bell,"Laval, Can",N/A
41,Banc - Sum 41,2025-01-25,18:50:00,Place Bell,"Laval, Can",N/A
41,"Glorilla, Bossman Dlow and 41",2024-10-18,20:00:00,Amica Mutual Pavilion,"Providence, United States Of America",45.0-139.0 USD
41,Sum 41 - Official Platinum,2025-01-10,18:50:00,Save-On-Foods Memorial Centre,"Victoria, Canada",75.0-75.0 CAD
41,Sum 41 - Official Platinum,2025-01-13,18:50:00,Prospera Place,"Kelowna, Canada",75.0-75.0 CAD
41,The Offspin + Some 41,2025-02-22,18:00:00,New Cross Inn,"London, Great Britain",N/A
d4vd,SZA - SOS Tour,2025-12-05,20:00:00,Scotiabank Arena,"Toronto, Canada",49.5-259.5 CAD
Ralphie Choo,Ralphie Choo,2024-11-24,18:30:00,The Moroccan Lounge,"Los Angeles, United States Of America",15.0-15.0 USD
Guè,Live At the Exchange1856 - Donny McCaslin & Band Plus Very Special Gue,2024-10-26,19:30:00,The Exchange 1856,"North Shields , Great Britain",N/A
Walls,Tent Walls,2024-11-16,20:00:00,Tailgating,"Grand Forks, United States Of America",N/A
Walls,Walls of Dada,2024-10-12,19:00:00,Bodega Social,"Nottingham, Great Britain",N/A
Walls,Walls of Jericho,2024-10-24,19:00:00,The Machine Shop - MI,"Flint, United States Of America",N/A
Walls,Redwood Christian Ministries Presents: Beyond the Walls,2024-11-02,18:00:00,House of Blues Cleveland,"Cleveland, United States Of America",30.0-30.0 USD
Walls,Pork Pie : Bouncin' Off the Walls 2024 Tour,2024-11-08,18:30:00,The Limelight 2,"Belfast, Great Britain",22.5-22.5 GBP
Walls,"Eighteen Visions, Walls of Jericho, GhostxShip, Soft Touch Mechanism",2024-10-27,18:00:00,Middle East - Downstairs,"Cambridge, United States Of America",20.0-20.0 USD
Walls,The Wall,2025-05-27,17:00:00,Stadsschouwburg Antwerpen,"Antwerp, Belgium",34.82-70.54 EUR
Walls,Colter Wall and Friends,2024-10-11,19:30:00,FirstBank Amphitheater,"Franklin, United States Of America",39.5-99.5 USD
Walls,The Wall In Concert,2025-04-14,17:00:00,Harris Theater,"Chicago, United States Of America",59.99-99.99 USD
Walls,The Wall In Concert,2025-05-04,17:00:00,Alex Theatre,"Glendale, United States Of America",31.2-84.2 USD
Walls,Colter Wall,2024-10-11,19:30:00,FirstBank Amphitheater,"Franklin, United States Of America",N/A
Walls,Colter Wall,2024-10-11,19:30:00,FirstBank Amphitheater,"Franklin, United States Of America",N/A
Walls,Colter Wall,2024-12-21,20:00:00,Texas Trust CU Theatre,"Grand Prairie, United States Of America",N/A
Walls,Colter Wall and Friends,2024-12-13,19:30:00,Coca-Cola Roxy,"Atlanta, United States Of America",53.5-103.5 USD
Walls,Colter Wall and Friends,2024-12-14,19:30:00,Harrah's Cherokee Resort Event Center,"Cherokee, United States Of America",49.5-89.5 USD
Walls,Colter Wall & Friends,2024-12-08,20:00:00,Dolby Live,"Las Vegas, United States Of America",50.46-229.31 USD
Walls,Colter Wall and Friends,2024-12-12,19:30:00,Township Auditorium,"Columbia, United States Of America",47.5-97.5 USD
Walls,Colter Wall and Friends,2024-12-16,19:30:00,Saenger Theatre Mobile,"Mobile, United States Of America",45.5-95.5 USD
Walls,Colter Wall and Friends,2024-12-20,19:30:00,Shreveport Municipal Memorial Auditorium,"Shreveport, United States Of America",35.5-95.5 USD
Walls,Colter Wall and Friends,2024-12-17,19:30:00,Montgomery Performing Arts Centre,"Montgomery, United States Of America",46.5-96.5 USD
Phoenix,Orlando Magic v Phoenix Suns,2024-12-08,18:30:00,Kia Center,"Orlando, United States Of America",36.0-2307.5 USD
