artist,name,date,time,venue,location,price_range,source_date,city,country,min_price_EUR,max_price_EUR
Pink,P!NK Live 2024,18-10-2024,19:30:00,Xcel Energy Center,"Saint Paul, United States Of America",64.95-1054.95 USD,20241011,Saint Paul,United States Of America,61.7,1002.2
Pink,P!NK Live 2024,15-10-2024,19:30:00,Little Caesars Arena,"Detroit, United States Of America",59.95-299.95 USD,20241011,Detroit,United States Of America,56.95,284.95
Pink,P!NK Live 2024,03-11-2024,19:30:00,Moody Center ATX,"Austin, United States Of America",63.95-353.95 USD,20241011,Austin,United States Of America,60.75,336.25
Pink,P!NK Live 2024,23-10-2024,19:30:00,Fiserv Forum,"Milwaukee, United States Of America",59.95-329.95 USD,20241011,Milwaukee,United States Of America,56.95,313.45
Pink,P!NK Live 2024,21-10-2024,19:30:00,Denny Sanford PREMIER Center,"Sioux Falls, United States Of America",157.95-360.95 USD,20241011,Sioux Falls,United States Of America,150.05,342.9
Pink,P!NK Live 2024,08-11-2024,19:30:00,BOK Center,"Tulsa, United States Of America",55.95-325.95 USD,20241011,Tulsa,United States Of America,53.15,309.65
Pink,P!NK Live 2024,16-11-2024,19:30:00,Legacy Arena at The BJCC ,"Birmingham, United States Of America",59.95-329.95 USD,20241011,Birmingham,United States Of America,56.95,313.45
Pink,P!NK Live 2024,20-11-2024,19:30:00,Colonial Life Arena,"Columbia, United States Of America",62.95-332.95 USD,20241011,Columbia,United States Of America,59.8,316.3
Pink,P!NK Live 2024,11-11-2024,19:30:00,Lenovo Center,"Raleigh, United States Of America",59.95-329.95 USD,20241011,Raleigh,United States Of America,56.95,313.45
Pink,P!NK: Summer Carnival 2024,06-11-2024,18:30:00,Globe Life Field,"Arlington, United States Of America",30.0-374.95 USD,20241011,Arlington,United States Of America,28.5,356.2
Pink,P!NK Live 2024,14-11-2024,19:30:00,State Farm Arena,"Atlanta, United States Of America",64.95-364.95 USD,20241011,Atlanta,United States Of America,61.7,346.7
